Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,16298.65,195583.80,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,Europe (London),,VPN Connection,0,11292,135504.00,USD,,"Working days per month (22), Number of subnet associations (4)"
My Estimate,Europe (London),,Network Address Translation (NAT) Gateway,0,73,876.00,USD,,Number of NAT Gateways (2)
My Estimate,Europe (London),,Public IPv4 Address,0,3.65,43.80,USD,,Number of In-use public IPv4 addresses (1)
My Estimate,Europe (London),,Amazon CloudWatch,0,1.2,14.40,USD,,Number of Metrics (includes detailed and custom metrics) (4)
My Estimate,Europe (London),,Amazon EventBridge,0,0,0.00,USD,,Size of the payload (1 KB)
My Estimate,Europe (London),,Amazon Route 53,0,0,0.00,USD,,IP (CIDR) blocks ()
My Estimate,Europe (London),,AWS Shield,0,3000,36000.00,USD,,
My Estimate,Europe (London),,Amazon EC2 ,0,67.16,805.92,USD,,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t3.medium), Pricing strategy (Compute Savings Plans 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,Europe (London),,Amazon EC2 ,0,47.012,564.14,USD,,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t3.small), Pricing strategy (Compute Savings Plans 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,Europe (London),,AWS Database Migration Service,0,1047.46,12569.52,USD,,"Storage for each database migration instance (General Purpose SSD (gp2)), Storage amount (multiple AZ) (100 GB), Number of instances (1), Instance type (c4.2xlarge), Deployment option (Multiple)"
My Estimate,Europe (London),,Amazon Aurora MySQL-Compatible,0,263.53,3162.36,USD,,"Aurora MySQL Cluster Configuration Option (Aurora Standard), Change records per statement (0.38), Instance Type (db.t3.large), Nodes (1), Utilization (100 %Utilized/Month), Instance Family (General purpose), Pricing Model (OnDemand), Storage amount (1 TB)"
My Estimate,Europe (London),,Amazon Aurora MySQL-Compatible,0,263.53,3162.36,USD,,"Aurora MySQL Cluster Configuration Option (Aurora Standard), Change records per statement (0.38), Instance Type (db.t3.large), Nodes (1), Utilization (100 %Utilized/Month), Instance Family (General purpose), Pricing Model (OnDemand), Storage amount (1 TB)"
My Estimate,Europe (London),,Amazon EC2 ,0,47.012,564.14,USD,,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t3.small), Pricing strategy (Compute Savings Plans 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,Europe (London),,Amazon EC2 ,0,67.16,805.92,USD,,"Tenancy (Shared Instances), Operating system (Windows Server), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t3.medium), Pricing strategy (Compute Savings Plans 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,Europe (London),,Amazon Elastic Block Store (EBS),0,39.31,471.72,USD,,"Number of volumes (4), Average duration each instance runs (730 hours per month), Storage amount per volume (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,Europe (London),,Amazon Elastic Block Store (EBS),0,86.63,1039.56,USD,,"Number of volumes (4), Average duration each instance runs (730 hours per month), Storage amount per volume (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
